Supply 08/14/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,3939,3888,3843,3767,3696,3673,3648,3570,3514,3485,3446,3408,3354,3285,3228,3165,3057,3002,2987,2977,2963,2977,2969,2955,2937,2916,2932,2904,2904,2903,2907,2892,2860,2752,2683,2644,2598,2577,2565,2547,2524,2539,2552,2534,2520,2542,2549,2538,2525,2521,2510,2492,2474,2453,2425,2419,2423,2414,2387,2356,2331,2310,2306,2316,2318,2283,2249,2257,2268,2250,2219,2204,2183,2181,2200,2199,2229,2264,2380,2485,2634,2822,3040,3312,3500,3662,3869,4081,4417,4841,5096,5390,5795,6090,6376,6886,7249,7675,8017,8499,8825,9167,9482,9641,9818,10024,10067,10185,10354,10445,10625,10896,11061,11241,11456,11721,11824,11858,11842,11811,11948,11950,11930,11935,11936,11996,12113,12103,12159,12261,12275,12243,12331,12323,12311,12349,12323,12316,12328,12421,12492,12455,12522,12556,12564,12587,12606,12588,12599,12620,12635,12603,12646,12661,12707,12688,12701,12747,12768,12825,12938,13017,13077,13092,13127,13077,12971,12954,12942,12924,12952,12858,12816,12752,12723,12641,12507,12278,12104,11865,11703,11511,11473,11396,11485,11669,12022,12270,12388,12285,12119,11920,11757,11625,11440,11289,11145,11089,11045,10970,10819,10675,10553,10305,10146,10032,9903,9827,9728,9619,9440,9177,9010,8838,8681,8451,8150,7863,7654,7417,7109,6762,6418,6053,5690,5307,4989,4643,4303,4093,3844,3595,3334,3185,3094,3040,3046,3070,3088,3129,3159,3162,3146,3154,3160,3169,3190,3185,3204,3242,3264,3279,3278,3267,3230,3190,3178,3164,3108,3052,3019,2979,2960,2959,2951,2932,2893,2858,2866,2873,2895,2894,2862,2827,2822,2817,2835,2860,2851,2830,2804,2807,2801,2771,2747,2750,2780,2810,
Natural gas,13386,13320,13365,13246,13174,13130,13090,13034,12997,12951,12927,12859,12777,12633,12510,12367,12045,11798,11614,11600,11642,11512,11377,11220,11257,11332,11377,11351,11349,11265,11123,10995,10843,10708,10675,10669,10625,10700,10926,10892,10788,10765,10807,10767,10702,10705,10658,10646,10629,10655,10706,10793,10813,10797,10762,10722,10701,10715,10724,10749,10818,11003,10873,10897,10922,11010,11134,11306,11428,11580,11594,11526,11593,11918,12071,12053,11954,11906,11903,11942,11969,11926,11880,11839,11846,11786,11809,11803,11769,11712,11710,11866,12027,12010,12029,11905,11804,11444,11463,11418,11338,11345,11335,11319,11383,11347,11364,11410,11509,11641,11592,11525,11841,11998,11887,11918,12015,12133,12196,12337,12467,13075,13306,13291,13320,13343,13381,13390,13275,13201,13285,13444,13646,14237,14658,14939,14973,14952,15195,15584,15952,16078,16165,16434,16935,17227,17381,17392,17375,17368,17644,17896,17995,18140,18297,18389,18770,19202,19381,19590,19751,19834,19871,20005,20283,20562,20806,20843,21073,21302,21362,21560,21600,21850,22281,22718,23009,23274,23515,23725,23580,23557,23622,24017,24126,24417,24378,24338,23980,24177,24359,24372,24289,24216,24075,24116,24178,24383,24489,24384,24506,24690,24945,25032,25005,24867,24841,24762,24847,24868,24913,25020,25052,25094,25086,25190,25190,24933,24759,24894,25122,25339,25532,25420,25433,25497,25539,25678,25593,25662,25645,25651,25524,25429,25283,25052,24828,24721,24737,24518,24489,24475,24375,24107,23979,24091,24194,24040,24435,24232,24124,24123,24177,24463,24502,24235,23778,23685,23797,23424,23203,23133,22930,22820,22661,21760,21220,21132,20809,20394,20079,19888,19860,19810,19706,19538,19438,19132,18895,18714,18402,18148,17922,17574,17360,17150,16857,16719
Large hydro,2134,1837,1726,1741,1713,1712,1716,1676,1658,1647,1608,1509,1554,1634,1670,1665,1629,1665,1661,1596,1552,1551,1547,1492,1411,1367,1335,1311,1311,1302,1297,1289,1302,1316,1310,1326,1331,1236,1125,1134,1141,1127,1114,1119,1097,1081,1069,1066,1059,1106,1116,1115,1129,1137,1152,1142,1133,1137,1133,1139,1142,1314,1431,1396,1403,1421,1400,1393,1388,1368,1408,1472,1501,1762,1994,2006,2026,2030,2019,1973,1970,1964,1914,1898,1788,1724,1781,1775,1741,1689,1654,1469,1388,1346,1377,1340,1255,1034,938,896,890,890,889,907,954,1006,1022,1042,1028,1068,1120,1091,837,803,772,748,790,854,876,946,894,957,1132,1184,1186,1169,1167,1361,1474,1469,1495,1509,1476,1462,1449,1336,1693,1715,1693,1661,1556,1636,1640,1593,1609,1760,1828,1937,1989,2022,2037,2031,2034,2029,2058,2060,2150,2211,2272,2214,2204,2278,2285,2370,2401,2407,2443,2484,2554,2808,2920,3075,3122,3111,3081,3030,3002,3002,3062,3136,3213,3533,3490,3897,3499,3445,3475,3539,3488,3455,3473,3545,3502,3545,3628,3630,3648,3676,3693,3666,3729,3750,3877,3920,3864,3901,4000,4028,4039,4143,4274,4322,4361,4448,4485,4521,4547,4498,4578,4591,4652,4824,5069,5142,5197,5308,5344,5318,5298,5356,5326,5352,5370,5286,5165,5199,5179,5119,5134,5138,5061,5079,5026,4963,4920,4892,4816,4520,4415,4333,4305,4359,4337,4359,4343,4369,4283,4196,4185,4135,4005,3932,3950,3923,3812,3650,3529,3468,3402,3372,3287,3303,3253,3172,3122,3063,2957,2936,2854,2883,2735,2732,2712,2651,2616,2606,2585,2533
Imports,8395,8638,8704,8674,8680,8585,8517,8487,8491,8425,8344,8443,8346,8390,8397,8473,8762,8865,8890,8841,8803,8835,8917,9012,8939,8803,8729,8680,8607,8608,8630,8665,8714,8831,8850,8820,8768,8806,8835,8824,8882,8837,8750,8771,8819,8808,8832,8811,8816,8779,8762,8707,8705,8755,8781,8870,8915,8922,8947,8991,9002,8805,8761,8916,8945,8892,8870,8795,8762,8701,8746,8829,8902,8704,8499,8491,8559,8551,8454,8432,8387,8264,8211,8053,8008,8356,8288,8170,8054,7867,7731,7697,7565,7399,7161,7000,6982,7303,7278,7091,6986,6698,6429,6291,6173,6015,6033,6040,5911,5855,5799,5736,5801,5719,5608,5433,5405,5469,5634,5699,5607,5180,4918,4964,5040,5165,5147,5051,5087,5216,5285,5389,5388,5022,4843,4966,4744,4783,4697,4482,4395,4453,4395,4376,4064,3918,3948,4058,4101,4214,4194,4202,4272,4376,4374,4509,4314,4076,3982,4041,4026,3993,4063,4071,3968,3959,3937,4037,3985,3747,3699,3613,3737,3673,3490,3424,3460,3639,3632,3693,4012,4020,3958,3446,3606,3533,3399,3258,3526,3607,3743,3905,4260,4349,4482,4695,4973,4951,4989,5327,5475,5480,5368,5481,5733,5712,5776,5762,5756,5751,5714,5821,5892,6005,6121,6217,6426,6549,6631,6728,6763,6873,6920,7126,7340,7014,7082,7193,7064,6923,6942,7071,7077,7162,7270,7386,7417,7388,7436,7463,7568,7957,8242,8438,8459,8317,8285,8299,7912,8163,8348,8210,7981,7610,7525,7504,7696,7776,7876,8077,8324,8329,8338,8267,8346,8882,9163,9148,9312,9341,9368,9375,9267,9164,9077,9043,8893,8864,8842,8707,8824,8895,8913,9067,9109,9074,9116,9066
Batteries,-32,-3,-9,-3,-17,-17,-17,-25,-36,-42,-52,-58,-26,-36,-16,-22,9,34,36,5,-11,-11,-31,-29,-18,-20,-19,-28,-26,-36,-28,-18,-10,5,-4,14,19,-12,-12,-10,-10,-10,-18,-14,-9,-21,-8,-21,-24,-13,-11,-11,-11,-10,-11,-5,-8,-9,-8,-9,-12,29,5,-8,-24,-3,-10,-12,-12,-19,-10,33,22,-1,3,1,5,4,-1,-13,-8,-7,-5,-17,-12,26,15,-5,1,-6,-15,-5,-7,-15,2,-15,-22,-25,-28,-36,-32,-37,-27,-30,-27,-7,-2,2,-2,1,-1,-2,8,-6,-21,-19,-5,2,17,19,0,-48,-21,0,-7,-3,-2,-8,-8,-5,0,5,6,44,87,-30,-29,-2,1,-15,-19,55,91,78,61,-90,-115,-92,-11,-1,-27,-34,-9,-44,-20,2,-17,-38,-19,-48,-12,-8,9,14,0,-1,22,35,40,1,5,26,52,46,7,1,-4,1,-5,12,58,58,88,1,1,1,1,-7,1,1,1,36,1,1,-13,1,0,0,0,0,1,23,33,33,32,37,33,30,30,35,31,19,15,18,30,58,92,137,131,131,131,123,132,122,147,139,111,141,102,139,140,141,123,115,115,114,115,108,106,112,111,-26,-69,-82,-95,-88,-106,-101,-116,-118,-113,-113,-113,-113,-95,-71,19,28,-88,-2,-58,-80,-60,-79,-179,83,29,2,3,-2,-27,-22,-17,-27,-53,-44,-32,-8,-10,1,-12,-16,-34,-35,-35,-35,-35,-35
Nuclear,2266,2266,2266,2266,2266,2265,2265,2266,2266,2266,2266,2266,2266,2267,2266,2266,2266,2266,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2268,2268,2268,2268,2267,2268,2268,2267,2268,2267,2268,2268,2269,2268,2268,2269,2269,2269,2269,2268,2269,2269,2269,2269,2270,2269,2269,2269,2270,2270,2270,2270,2270,2270,2270,2271,2270,2270,2271,2270,2270,2270,2269,2270,2270,2270,2270,2269,2270,2270,2270,2270,2270,2270,2271,2270,2270,2271,2271,2271,2271,2271,2271,2271,2272,2272,2271,2271,2271,2271,2272,2271,2271,2271,2272,2271,2271,2271,2272,2272,2272,2271,2271,2271,2271,2271,2271,2271,2270,2270,2270,2270,2270,2270,2270,2270,2269,2270,2269,2269,2270,2270,2269,2270,2270,2268,2269,2269,2269,2269,2269,2268,2268,2268,2269,2268,2269,2267,2267,2266,2265,2265,2266,2265,2266,2265,2265,2264,2264,2264,2264,2263,2263,2263,2263,2263,2262,2261,2261,2259,2260,2259,2258,2258,2258,2259,2259,2259,2259,2259,2258,2258,2256,2257,2256,2257,2256,2256,2256,2255,2257,2256,2257,2256,2257,2258,2258,2258,2258,2259,2259,2260,2260,2260,2260,2259,2260,2260,2261,2261,2261,2262,2262,2261,2262,2262,2263,2263,2263,2263,2263,2264,2264,2265,2264,2265,2265,2265,2265,2265,2265,2266,2266,2266,2266,2266,2266,2266,2265,2266,2266,2267,2266,2266,2266,2266,2267,2267,2267,2267,2267,2267,2268,2267,2267,2267,2268,2267,2268,2268,2268,2268,2269,2268,2269,2268,2268,2267,2267,2267,2267,2268,2267,2267,2267,2267,2267,2266,2265,2265,2265,2263,2262,2262,2262,2261,2260,2259,2259
Coal,10,11,10,10,10,10,10,10,10,10,10,10,10,10,9,10,11,11,10,10,9,10,10,10,9,9,9,9,10,10,9,10,10,10,11,10,9,9,9,9,9,9,9,9,8,8,8,9,8,9,9,9,9,10,9,9,9,9,9,10,9,10,10,9,10,10,9,9,8,9,10,9,8,9,9,9,10,9,9,8,8,8,8,8,8,8,7,7,7,7,8,8,8,8,7,8,8,8,8,8,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,8,8,9,8,8,8,8,8,8,9,9,9,8,8,8,8,9,9,8,8,8,9,9,8,8,8,8,9,9,9,8,7,8,9,9,9,8,8,8,8,8,8,8,9,8,9,9,9,8,7,8,8,8,8,8,8,8,8,8,8,9,8,7,7,8,8,8,8,9,9,8,8,8,8,7,7,8,8,8,8,10,12,13,13,12,12,12,12,11,11,11,12,12,12,12,12,12,12,12,12,11,11,11,12,12,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,9,10,10,9,9,10,10,10,10,10,10,11,11,11,11,11,9,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,9,8,8,8,9,9,8,8,8,9,8
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
