Supply 07/01/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4541,4558,4556,4543,4559,4577,4589,4597,4621,4653,4661,4673,4675,4690,4688,4668,4651,4657,4623,4611,4587,4586,4600,4618,4593,4586,4556,4529,4506,4491,4459,4394,4289,4181,4084,4020,3980,3989,3988,4015,4022,4024,4015,4015,3996,3989,3977,3957,3944,3938,3930,3928,3920,3894,3840,3822,3813,3794,3791,3784,3735,3722,3717,3694,3686,3655,3632,3620,3622,3620,3657,3710,3791,3925,4076,4275,4504,4799,5122,5367,5786,6150,6497,6855,7250,7664,7991,8360,8731,9128,9599,10081,10466,10725,10858,11072,11380,11603,11781,11920,12102,12234,12325,12465,12575,12671,12782,12922,13020,13074,13133,13192,13261,13321,13355,13395,13419,13437,13456,13467,13476,13444,13450,13447,13503,13532,13559,13584,13607,13626,13641,13655,13673,13663,13657,13668,13699,13729,13728,13751,13776,13795,13811,13830,13830,13858,13902,13952,14005,14063,14135,14188,14265,14344,14396,14467,14520,14572,14646,14662,14659,14657,14676,14620,14598,14639,14614,14614,14636,14647,14682,14684,14691,14695,14690,14695,14688,14703,14730,14729,14749,14816,14831,14823,14864,14853,14878,14899,14900,14902,14886,14879,14837,14800,14785,14773,14714,14654,14605,14532,14476,14402,14315,14228,14131,14054,13963,13867,13792,13672,13537,13399,13196,12965,12775,12553,12301,12021,11750,11455,11083,10729,10307,9903,9494,9081,8573,8131,7757,7374,6907,6494,6168,5825,5487,5214,4963,4748,4609,4467,4368,4310,4275,4218,4156,4123,4131,4153,4146,4165,4202,4222,4276,4331,4318,4275,4250,4246,4232,4230,4239,4263,4263,4279,4269,4253,4241,4223,4201,4214,4240,4239,4247,4276,4325,4393,4415,4389,4344,4301,4255,4227,4224,4254,4321,4431,4520,4595,
Natural gas,6519,6367,6215,6141,6079,5906,5727,5574,5467,5313,5169,5072,4986,4908,4964,4904,4911,4859,4764,4655,4630,4392,4202,4118,4102,4140,4233,4222,4167,4080,3984,3932,3945,3937,3945,3969,3950,3964,3988,3978,3949,3899,3909,3832,3828,3845,3849,3852,3881,3871,3847,3873,3892,3881,3897,3906,3911,3922,3953,3978,3987,3950,3866,3875,3949,3893,3913,3919,3937,3926,3869,3925,4153,4569,4506,4488,4479,4427,4419,4402,4329,4286,4195,3955,3893,3927,3944,3920,3840,3595,3477,3449,3252,3109,3083,3045,3052,3051,3089,2992,2947,2963,2910,2921,2924,2917,2909,2906,2897,2922,2947,2969,2935,2929,2938,2921,2900,2960,3012,2963,3045,3211,3215,3215,3205,3194,3193,3185,3179,3179,3203,3243,3158,3117,3153,3219,3183,3212,3159,3137,3116,3165,3161,3170,3237,3313,3380,3392,3382,3305,3314,3386,3464,3472,3494,3498,3502,3423,3385,3378,3445,3552,3612,3618,3729,3804,3887,3954,4078,4178,4332,4447,4486,4568,4698,4784,4800,4818,4845,4942,5022,5136,4991,4848,4843,4932,5052,5200,5261,5314,5369,5520,5634,5763,5767,5949,6135,6277,6362,6476,6544,6653,6736,6771,6909,6939,6913,6908,7072,7165,7421,7652,7843,7917,8072,8261,8397,8350,8182,8250,8496,8761,8943,9300,9758,10051,10361,10266,10182,10536,10959,11105,11138,11219,11386,11501,11581,11685,11697,11747,11751,11735,11716,11785,11816,11790,11745,11651,11611,11494,11232,11185,11109,11217,11176,11023,10880,10836,10878,10536,10461,10456,10303,10346,10259,10086,10025,9888,9416,9136,9061,8962,8847,8773,8690,8517,8408,8384,8367,8338,8305,8281,8073,7719,7646,7561,7299,7092
Large hydro,2433,2302,2214,2207,2247,2272,2282,2265,2259,2258,2272,2233,2151,2123,2081,2045,2079,2074,2068,2069,2071,2068,2077,2069,2065,1896,1855,1919,1900,1890,1903,1907,1927,1929,1922,1911,1888,1822,1788,1769,1773,1765,1773,1825,1853,1851,1860,1864,1883,2028,2091,2079,2088,2082,2079,2093,2085,2058,2025,2044,2088,2350,2502,2510,2509,2506,2504,2508,2514,2522,2529,2524,2615,2957,3267,3329,3255,3061,2867,2745,2671,2567,2581,2588,2362,1909,1837,1797,1821,1768,1703,1717,1737,1752,1747,1703,1581,1505,1486,1490,1479,1459,1438,1440,1434,1422,1415,1419,1413,1421,1442,1446,1443,1427,1422,1416,1440,1446,1463,1475,1470,1495,1484,1476,1470,1462,1459,1472,1474,1471,1470,1477,1456,1446,1374,1339,1341,1362,1341,1319,1315,1287,1255,1271,1278,1285,1304,1318,1376,1393,1377,1344,1340,1343,1366,1356,1387,1392,1399,1435,1450,1441,1430,1433,1443,1401,1417,1435,1429,1425,1405,1405,1418,1379,1336,1375,1378,1421,1434,1455,1492,1749,1958,2016,2014,2023,1965,1938,1932,1979,1999,1994,1938,1994,2007,1996,1955,1947,1966,2005,2019,2059,2116,2200,2320,2654,2857,2894,2901,2911,2943,2985,3036,3066,2999,3014,3159,3506,3671,3668,3685,3717,3732,3653,3782,3848,4090,4265,4296,4098,4047,4156,4235,4279,4279,4274,4278,4308,4281,4268,4257,4244,4219,4222,4246,4242,4228,4228,4232,4225,4240,4236,4149,4218,4233,4112,4027,3939,4013,4076,3959,3879,3718,3653,3648,3506,3416,3399,3430,3412,3387,3351,3306,3298,3254,3182,3054,2741,2589,2544,2541,2523,2514,2515,2482,2419,2393,2389
Imports,9505,9643,9797,9802,9712,9688,9679,9751,9759,9722,9727,9703,9739,9709,9651,9668,9578,9501,9527,9570,9592,9713,9793,9802,9782,9819,9834,9726,9759,9791,9902,9917,9906,9922,9985,10009,10033,10043,10106,10076,10115,10123,10097,10099,10055,10035,9974,9984,9968,9934,9884,9895,9910,9927,10007,10024,10070,10153,10204,10225,10299,10325,10341,10418,10483,10582,10612,10677,10693,10741,10759,10671,10339,9717,9350,9193,9092,9053,9008,8937,8789,8666,8530,8373,8208,8433,8337,8135,7932,7806,7607,7313,7102,6902,6849,6697,6513,6559,6512,6491,6373,6288,6230,6126,6026,6002,5880,5810,5749,5722,5631,5575,5528,5518,5425,5443,5361,5272,5161,5161,5100,4969,4965,4978,4958,4938,4911,4847,4848,4842,4838,4798,4849,4969,4998,5004,5022,4992,5062,5103,5102,5097,5094,5085,5019,4910,4820,4746,4762,4759,4698,4683,4615,4597,4586,4561,4631,4649,4662,4670,4621,4618,4606,4733,4710,4773,4793,4726,4673,4539,4497,4502,4572,4612,4636,4659,4656,4698,4722,4759,4716,4485,4426,4573,4668,4732,4739,4747,4764,4795,4842,4825,4927,4918,4934,4936,4953,5057,5118,5193,5315,5378,5492,5611,5620,5416,5353,5447,5493,5610,5613,5578,5662,5849,6033,6198,6268,6288,6427,6731,6873,7019,7191,7394,7348,7361,7378,7642,8026,8060,8102,8243,8381,8575,8676,8797,8894,8905,8939,9018,9035,9052,9064,9038,9053,9128,9164,9222,9198,9303,9465,9475,9463,9294,9239,9355,9474,9415,9391,9441,9423,9354,9424,9321,9203,9182,9240,9229,9530,9566,9487,9424,9426,9324,9255,9265,9221,9292,9389,9316,9200,9055,9094,9258,9214,9162,9257,9235
Batteries,-6,-2,-2,-3,-11,-5,-1,-1,0,-6,-6,0,16,29,-1,-12,-1,-1,-11,-8,-9,-14,-2,-2,21,-20,-20,-2,-18,-16,-10,-8,-1,22,-1,-1,-8,-13,-18,-18,-18,-18,-18,-9,-5,-5,-2,-2,-10,-5,0,0,0,0,0,0,-7,-18,-18,-18,-18,-6,-1,-14,-1,-19,-19,-13,-11,-8,0,-1,0,44,71,51,11,-2,-2,-2,-2,-18,-47,-20,-32,-35,-8,-18,-17,-14,-15,-15,-6,5,7,7,5,-2,-6,-8,-9,-12,-12,-15,-24,-22,-18,-4,-21,-2,9,-20,1,-15,2,-16,-1,-13,2,0,-7,-15,-15,-14,-14,-13,-13,-11,-7,-5,-3,-11,-4,-15,-12,-5,-4,-14,-11,-20,-3,-23,-3,-17,-19,-16,-20,-24,-9,-19,-1,-14,-11,-15,-10,-22,-28,-40,-28,-3,10,0,0,-1,-9,-16,3,-7,-12,6,-15,-4,-2,-15,-23,-67,-59,-34,-14,-19,-1,12,0,0,0,-5,-14,-13,3,-2,-3,-14,-12,-25,0,-1,-8,-6,1,1,1,1,1,0,-1,-4,-6,-2,-1,-2,-3,-2,-1,1,-2,-2,0,-10,-11,-11,3,8,14,15,4,5,5,19,27,41,34,43,43,45,42,45,48,48,47,48,48,44,39,39,40,37,34,32,33,26,23,24,24,1,-7,6,56,60,-1,-5,-13,-13,-13,-13,-7,10,13,13,27,40,8,3,-1,6,-3,-3,-3,9,24,12,11,-1,-1,-1,-9,-16,-18,-15
Nuclear,2257,2256,2257,2256,2256,2258,2256,2258,2257,2258,2258,2258,2258,2258,2258,2259,2260,2259,2259,2259,2259,2260,2260,2261,2261,2261,2261,2262,2262,2262,2262,2262,2262,2263,2263,2262,2262,2261,2262,2262,2261,2261,2262,2261,2261,2262,2262,2261,2261,2262,2262,2262,2262,2263,2263,2262,2264,2263,2263,2264,2264,2264,2264,2264,2264,2264,2264,2264,2263,2263,2263,2263,2264,2262,2262,2262,2262,2261,2263,2262,2262,2262,2261,2262,2261,2262,2261,2261,2262,2261,2261,2261,2260,2260,2261,2261,2261,2260,2261,2260,2261,2259,2259,2259,2259,2259,2259,2259,2259,2258,2258,2259,2258,2258,2257,2257,2257,2258,2256,2256,2257,2257,2256,2257,2258,2258,2259,2258,2257,2258,2258,2259,2258,2259,2258,2259,2261,2259,2260,2259,2259,2259,2260,2259,2259,2259,2259,2259,2259,2258,2259,2259,2258,2258,2258,2257,2256,2257,2256,2256,2256,2257,2256,2257,2258,2257,2257,2258,2258,2258,2258,2258,2258,2259,2260,2259,2260,2259,2260,2260,2261,2261,2261,2262,2261,2262,2262,2262,2262,2262,2262,2263,2262,2263,2264,2264,2265,2264,2264,2264,2265,2265,2267,2267,2267,2267,2268,2267,2266,2265,2265,2265,2265,2265,2264,2265,2265,2265,2265,2264,2265,2264,2264,2262,2261,2260,2260,2260,2259,2259,2258,2258,2258,2258,2258,2258,2258,2257,2258,2257,2258,2258,2258,2258,2257,2258,2258,2258,2258,2259,2259,2258,2259,2258,2259,2258,2259,2260,2259,2259,2259,2260,2260,2261,2261,2260,2259,2260,2261,2260,2260,2260,2261,2260,2260,2261,2260,2260,2259,2261,2260,2260,2260,2260,2259,2259,2259,2258
Coal,18,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,20,20,19,19,19,19,18,19,19,19,19,19,20,20,20,19,19,19,19,19,19,18,18,19,18,18,19,18,18,18,19,19,19,19,19,20,19,19,19,19,19,19,18,18,18,16,17,18,18,19,19,18,18,18,18,19,19,19,20,19,18,18,18,18,19,19,18,19,19,19,20,19,19,18,19,19,18,19,19,18,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,17,17,17,17,17,17,18,18,17,17,17,17,16,16,17,17,17,16,16,16,16,19,19,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,19,18,17,17,17,17,17,17,17,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,18,17,18,19,19,19,19,20,19,19,19,19,19,18,18,18,17,17,17,17,18,17,18,18,17,17,18,18,17,18,17,17,17,16,17,17,16,17,17,17,17,16,16,16,16,16,16,16,16,16,17,17,16,16,16,16,16,16,17,17,17,17,17,17,18,17,16,16,16,16,16,17,18,17,18,17,16,17,16,17,17,17
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
