StationID,STATION NAME,CTRY,STATE,LAT,LON,Begin Date,End Date
010010-99999,JAN MAYEN(NOR-NAVY),NO,,70.933,-8.667,1931-01-01,2020-02-29
010014-99999,SORSTOKKEN,NO,,59.792,5.341,1986-11-20,2020-02-28
010020-99999,VERLEGENHUKEN,NO,,80.05,16.25,1986-11-09,2020-02-29
010030-99999,HORNSUND,NO,,77.0,15.5,1985-06-01,2020-02-29
010060-99999,EDGEOYA,NO,,78.25,22.816999999999997,1973-01-01,2020-02-29
010070-99999,NY-ALESUND,SV,,78.917,11.933,1973-01-06,2020-02-29
010080-99999,LONGYEAR,SV,,78.24600000000001,15.466,1975-09-29,2020-02-29
010090-99999,KARL XII OYA,SV,,80.65,25.0,1955-01-01,2020-02-29
010100-99999,ANDOYA,NO,,69.293,16.144000000000002,1931-01-03,2020-02-29
010110-99999,KVITOYA,SV,,80.067,31.5,1986-11-18,2020-02-29
010150-99999,HEKKINGEN FYR,NO,,69.6,17.833,1980-03-14,2020-02-29
010160-99999,KONGSOYA,NO,,78.933,28.9,1993-05-01,2020-02-29
010170-99999,AKSELOYA,SV,,77.683,14.783,1973-01-01,2020-02-29
010230-99999,BARDUFOSS,NO,,69.056,18.54,1940-07-13,2020-02-29
010231-99999,DRAUGEN,NO,,64.35,7.8,2004-05-10,2020-01-08
010240-99999,PYRAMIDEN,NO,,78.65,16.367,1973-01-01,2020-02-29
010250-99999,TROMSO,NO,,69.683,18.919,1973-01-01,2020-02-29
010260-99999,TROMSO,NO,,69.65,18.933,1997-02-01,2020-02-29
010280-99999,BJORNOYA ISLAND,NO,,74.517,19.017,1931-01-03,2020-02-29
010300-99999,KISTEFJELL,NO,,69.283,18.133,1951-01-01,2020-02-29
010330-99999,TORSVAG FYR,NO,,70.25,19.5,1973-01-01,2020-02-29
010350-99999,LYNGEN GJERDVASSBU,NO,,69.567,20.1,1973-01-01,2020-02-29
010360-99999,NORDNESFJELLET,NO,,69.567,20.433,2004-05-10,2020-02-29
010370-99999,SKIBOTN 2,NO,,69.383,20.283,1973-01-01,2020-02-29
010420-99999,HASVIK-SLUSKFJELLET,NO,,70.6,22.45,2008-09-17,2020-02-29
010430-99999,ROGNSUNDET,NO,,70.417,22.816999999999997,1973-01-01,2020-02-29
010440-99999,HASVIK,NO,,70.487,22.14,2005-01-02,2020-02-29
010450-99999,NORDSTRAUM I KVAENANGEN,NO,,69.833,21.883000000000003,1973-01-01,2020-02-29
010460-99999,SORKJOSEN,NO,,69.78699999999999,20.959,1975-09-05,2020-02-29
010470-99999,KAUTOKEINO II,NO,,69.017,23.066999999999997,1973-01-01,2020-02-29
010490-99999,ALTA,NO,,69.976,23.372,1973-01-01,2020-02-29
010520-99999,HAMMERFEST AP,NO,,70.683,23.683000000000003,1940-10-08,2020-02-29
010550-99999,FRUHOLMEN FYR,NO,,71.1,23.983,1931-01-01,2020-02-29
010570-99999,CUOVDDATMOHKKI,NO,,69.367,24.433000000000003,1973-01-01,2020-02-29
010580-99999,SUOLOVUOPMI LULIT,NO,,69.567,23.533,2005-02-18,2020-02-29
010590-99999,BANAK,NO,,70.069,24.973000000000003,1973-01-01,2020-02-29
010620-99999,HOPEN ISLAND,NO,,76.5,25.066999999999997,1955-01-01,2020-02-29
010650-99999,KARASJOK,NO,,69.467,25.517,1973-01-01,2020-02-29
010680-99999,HONNINGSVAG/VALAN,NO,,71.017,25.983,1980-06-04,2020-02-29
010740-99999,MEHAMN,NO,,71.033,27.833000000000002,1975-09-05,2020-02-29
010780-99999,SLETTNES FYR,NO,,71.1,28.233,1973-01-01,2020-02-29
010820-99999,NYRUD,NO,,69.15,29.25,1973-09-19,2020-02-29
010830-99999,BERLEVAG,NO,,70.867,29.033,1975-09-05,2020-02-29
010840-99999,PASVIK,NO,,69.45,30.033,1973-01-01,2020-02-28
010860-99999,BATSFJORD,NO,,70.6,29.693,2005-01-01,2020-02-29
010880-99999,VADSO,NO,,70.067,29.85,1975-09-05,2020-02-29
010882-99999,ROROS,NO,,62.578,11.342,2005-01-02,2020-02-29
010886-99999,SLEIPNER A OIL PLATFORM,NO,,58.367,1.9,2009-02-01,2020-02-29
010890-99999,HOYBUKTMOEN,NO,,69.726,29.893,1940-11-01,2020-02-29
010920-99999,MAKKAUR FYR,NO,,70.7,30.083000000000002,1973-01-01,2020-02-29
010980-99999,VARDO,NO,,70.367,31.1,1931-01-03,2020-02-29
010990-99999,VARDO AP / SVARTNES,NO,,70.355,31.045,2005-01-02,2020-02-29
011020-99999,SKLINNA FYR,NO,,65.2,11.0,1975-02-28,2020-02-29
011025-99999,HEIDRUN,NO,,65.333,7.317,1999-04-24,2020-02-29
011050-99999,ROTVAER,NO,,68.367,15.95,1973-01-01,2020-02-29
011070-99999,ROST (NOR-AFB),NO,,67.517,12.1,1988-03-03,2020-02-29
011080-99999,VEGA-VALLSJO,NO,,65.7,11.85,1991-08-01,2020-02-29
011120-99999,BRONNOY,NO,,65.461,12.218,1973-01-01,2020-02-29
011140-99999,REIPA,NO,,66.9,13.633,2009-07-02,2020-02-29
011150-99999,MYKEN,NO,,66.767,12.482999999999999,1973-01-01,2020-02-29
011160-99999,STOKKA,NO,,65.95,12.467,1973-04-01,2020-02-29
011170-99999,TJOTTA,NO,,65.817,12.417,2004-01-19,2020-02-21
011210-99999,SOLVAER III,NO,,66.367,12.617,1973-01-01,2020-02-29
011220-99999,KJAERSTAD,NO,,65.78399999999999,13.215,1988-10-14,2020-02-29
011240-99999,SNASA,NO,,64.167,12.467,2005-02-18,2020-02-29
011320-99999,MAJAVATN V,NO,,65.167,13.367,2008-02-29,2020-02-29
