StationID,STATION NAME,CTRY,STATE,LAT,LON,Begin Date,End Date
011410-99999,LEKNES,NO,,68.15,13.617,1973-06-20,2020-02-29
011440-99999,HELLIGVAER II,NO,,67.4,13.883,2005-03-15,2020-02-29
011460-99999,SKAMDAL,NO,,66.233,13.883,1973-01-01,2020-02-29
011470-99999,VARNTRESK,NO,,65.833,14.183,1940-09-07,2020-02-29
011500-99999,HJARTASEN,NO,,66.5,14.95,1973-01-03,2020-02-29
011510-99999,MOIRANA,NO,,66.367,14.3,1973-04-01,2020-02-29
011520-99999,BODO,NO,,67.26899999999999,14.365,1940-09-17,2020-02-29
011560-99999,BO I VESTERALEN,NO,,68.6,14.433,2004-05-10,2020-02-29
011600-99999,SKROVA FYR,NO,,68.15,14.65,1973-01-01,2020-02-29
011610-99999,SVOLVAER/HELLE,NO,,68.25,14.667,1973-06-20,2020-02-29
011620-99999,STORKMARKNES/SKAGEN,NO,,68.583,15.017000000000001,1973-06-20,2020-02-29
011690-99999,SALTDAL-NORDNES,NO,,66.933,15.317,1983-01-01,2020-02-29
011800-99999,HARSTAD,NO,,68.8,16.533,2004-05-10,2020-02-29
011830-99999,EVENES,NO,,68.491,16.678,1975-09-05,2020-02-29
011990-99999,SIHCCAJAVRI,NO,,68.75,23.533,1949-01-01,2020-02-29
012030-99999,KRAKENES,NO,,62.033,4.9830000000000005,1931-09-04,2020-02-29
012050-99999,SVINOY LH,NO,,62.333,5.267,1973-01-01,2020-02-29
012090-99999,ORSTA-VOLDA/HOVDEN,NO,,62.183,6.067,1984-12-11,2020-02-29
012100-99999,VIGRA,NO,,62.56,6.11,1973-01-01,2020-02-29
012120-99999,ONA II,NO,,62.867,6.5329999999999995,1955-01-01,2020-02-29
012140-99999,REKDAL,NO,,62.65,6.767,2009-01-12,2020-02-29
012170-99999,ARO,NO,,62.745,7.263,1976-02-01,2020-02-29
012180-99999,TAFJORD,NO,,62.233000000000004,7.417000000000001,1973-01-01,2020-02-29
012210-99999,TAGDALEN,NO,,63.05,9.083,2008-01-15,2020-02-29
012230-99999,KVERNBERGET,NO,,63.111999999999995,7.825,1973-01-01,2020-02-29
012240-99999,AALESUND,NO,,62.467,6.2170000000000005,1984-12-01,2020-02-29
012250-99999,VEIHOLMEN,NO,,63.516999999999996,7.95,1973-01-01,2020-02-29
012270-99999,INNERDALEN,NO,,62.717,8.783,1973-01-01,2020-02-29
012280-99999,SULA,NO,,63.85,8.467,1973-01-01,2020-02-29
012300-99999,BJORLI,NO,,62.266999999999996,8.2,1973-01-01,2020-02-29
012320-99999,VINJEORA II,NO,,62.45,7.85,1973-01-01,2020-02-29
012330-99999,DOMBAAS,NO,,62.083,9.117,2006-11-21,2020-02-29
012340-99999,ORKDAL-THAMSHAMN,NO,,63.317,9.85,2006-11-21,2020-02-29
012370-99999,HITRA,NO,,63.516999999999996,9.117,2005-04-02,2020-02-29
012380-99999,FOKSTUA II,NO,,62.117,9.283,1973-01-01,2020-02-29
012400-99999,HALTEN FYR,NO,,64.167,9.4,1985-01-10,2020-02-29
012410-99999,ORLAND,NO,,63.699,9.604,1973-01-01,2020-02-29
012420-99999,AFJORD II,NO,,63.967,10.217,2008-01-15,2020-02-29
012450-99999,OPPDAL-SETER,NO,,62.6,9.667,1976-02-01,2020-02-29
012530-99999,SOKNEDAL,NO,,62.95,10.183,2009-01-12,2020-02-29
012540-99999,KOTSOY,NO,,62.983000000000004,10.55,2009-01-12,2020-02-29
012570-99999,TRONDHEIM/VOLL,NO,,63.417,10.45,2004-04-06,2020-02-29
012590-99999,BUHOLMRASA LH,NO,,64.4,10.45,1973-01-01,2020-02-28
012620-99999,NORDOYAN FYR,NO,,64.8,10.55,1928-01-02,2020-02-29
012650-99999,TYNSET-HANSMOEN,NO,,62.266999999999996,10.732999999999999,1949-01-01,2020-02-29
012710-99999,VAERNES,NO,,63.458,10.94,1940-04-13,2020-02-29
012730-99999,SELBU,NO,,63.233000000000004,11.017000000000001,2007-10-16,2020-02-29
012770-99999,STEINKJER,NO,,64.017,11.45,1973-01-01,2020-02-29
012810-99999,NAMSSKOGAN,NO,,64.733,12.85,2007-01-05,2020-02-29
012820-99999,RORVIK/RYUM,NO,,64.85,11.232999999999999,1995-09-01,2020-02-29
012870-99999,SOLENDET,NO,,62.683,11.817,2008-01-15,2020-02-29
012880-99999,ROROS,NO,,62.567,11.383,1973-01-01,2020-02-29
012900-99999,NAMSOS AIRPORT,NO,,64.467,11.583,1973-04-01,2020-02-29
012910-99999,GARTLAND,NO,,64.533,12.383,2009-01-12,2020-02-29
012930-99999,MERAKER-EGGE,NO,,63.417,11.732999999999999,2005-02-15,2020-02-29
013000-99999,GULLFAKS C,NO,,61.2,2.267,2001-06-01,2020-02-29
013005-99999,STATFJORD OIL PLATFORM HELIPORT,FO,,61.25,1.85,1984-12-04,2020-02-29
013040-99999,YTTEROYANE FYR,NO,,61.567,4.683,1984-09-01,2020-02-29
013070-99999,FEDJE,NO,,60.75,4.717,2005-02-18,2020-02-29
013100-99999,FLORO,NO,,61.583999999999996,5.025,1980-04-07,2020-02-29
013110-99999,FLESLAND,NO,,60.293,5.218,1973-01-01,2020-02-29
013170-99999,BERGEN/FLORIDA,NO,,60.383,5.332999999999999,1973-01-01,2020-02-29
013190-99999,TAKLE,NO,,61.033,5.382999999999999,1973-01-01,2020-02-29
013200-99999,SANDANE/ANDA,NO,,61.833,6.117000000000001,1981-09-04,2020-02-29
013210-99999,STRYN,NO,,61.9,6.55,1973-01-01,2020-02-29
013230-99999,BRINGELAND,NO,,61.393,5.763999999999999,1984-05-02,2020-02-29
013260-99999,MODALEN III,NO,,60.85,5.983,2008-10-08,2020-02-29
013270-99999,KVAMSKOGEN-JONSHOGDI,NO,,60.383,5.9670000000000005,2006-11-21,2020-02-29
013290-99999,KVAMSOY,NO,,60.35,6.267,2005-02-18,2020-02-29
013320-99999,FJAERLAND BREMUSEET,NO,,61.43,6.77,2006-02-01,2020-02-29
013360-99999,BULKEN,NO,,60.65,6.2170000000000005,1973-01-01,2020-02-29
013370-99999,VOSSEVANGEN,NO,,60.633,6.433,2005-02-18,2020-02-18
013380-99999,VANGSNES,NO,,61.167,6.65,2004-07-06,2020-02-29
013400-99999,FET I EIDFJORD,NO,,60.42,7.28,2005-07-26,2020-02-29
013420-99999,ULLENSVANG,NO,,60.317,6.65,1973-01-01,2020-02-28
013440-99999,MJOLFJELL,NO,,60.7,6.95,1973-01-01,2020-02-29
013450-99999,KLEVAVATNET,NO,,60.717,7.2170000000000005,1973-10-07,2020-02-29
013470-99999,SOGNDAL HAUKASEN,NO,,61.156000000000006,7.1370000000000005,1985-01-18,2020-02-29
013500-99999,FINSEVATN,NO,,60.6,7.5329999999999995,2003-03-30,2020-02-29
013520-99999,SANDHAUG,NO,,60.183,7.483,2004-01-07,2020-02-29
013550-99999,LAERDAL IV,NO,,61.1,7.5,1973-01-01,2020-02-29
013570-99999,HOLLEKOLTEN,NO,,60.867,8.517000000000001,1973-01-01,2020-02-29
013590-99999,GEILO-OLDEBRATEN,NO,,60.533,8.2,1973-01-01,2020-02-29
013600-99999,BRATA-SLETTOM,NO,,61.9,7.9,1973-01-01,2020-02-29
013610-99999,GROTLI III,NO,,62.016999999999996,7.667000000000001,1973-01-01,2020-02-29
013620-99999,JUVVASSHOE,NO,,61.667,8.367,2009-06-26,2020-02-29
013640-99999,FILEFJELL,NO,,61.183,8.117,1949-01-01,2020-02-29
013650-99999,BEITOSTOLEN II,NO,,61.251000000000005,8.917,1973-04-04,2020-02-29
013660-99999,SOGNEFJELL,NO,,61.567,8.0,1979-03-01,2020-02-29
013670-99999,FAGERNES,NO,,60.983000000000004,9.217,1982-10-01,2020-02-29
013680-99999,LEIRIN,NO,,61.016000000000005,9.288,1988-10-14,2020-02-29
013700-99999,SKABU,NO,,61.516999999999996,9.4,1973-01-01,2020-02-29
013710-99999,LOKEN I VOLBU,NO,,61.117,9.067,1973-01-01,2020-02-28
013730-99999,NESBYEN-TODOKK,NO,,60.567,9.133,1973-01-01,2020-02-29
013740-99999,VEST-TORPA II,NO,,60.933,10.033,1981-05-01,2020-02-29
013750-99999,KVITFJELL,NO,,61.467,10.133,1973-01-01,2020-02-29
013755-99999,GULLFAX (PLATFORM),NO,,61.033,2.033,1989-11-15,2020-02-29
013760-99999,GULSVIK II,NO,,60.383,9.6,1973-01-01,2020-02-29
013780-99999,LILLEHAMMER-SAETHERENGEN,NO,,61.1,10.467,1973-01-01,2020-02-29
013800-99999,VENABU,NO,,61.65,10.117,1985-01-10,2020-02-29
013820-99999,KISE,NO,,60.766999999999996,10.8,1973-01-01,2020-02-28
013830-99999,EVENSTAD-DIH,NO,,61.4,11.08,1973-01-01,2020-02-29
013840-99999,GARDERMOEN,NO,,60.193999999999996,11.1,1940-05-11,2020-02-29
013850-99999,HAMER,NO,,60.817,11.067,2006-10-24,2020-02-29
013860-99999,HAMAR II,NO,,60.8,11.1,2009-07-01,2020-02-29
013890-99999,RENA AP,NO,,61.183,11.367,1973-01-01,2020-02-29
013920-99999,FLISA II,NO,,60.617,12.017000000000001,2005-02-18,2020-02-29
013930-99999,DREVSJO,NO,,61.883,12.033,1973-01-01,2020-02-29
013970-99999,TRYSIL VEGSTASJON,NO,,61.3,12.267000000000001,1973-01-01,2020-02-29
014000-99999,EKOFISK,NO,,56.55,3.217,1998-12-23,2020-02-29
014030-99999,UTSIRA FYR,NO,,59.3,4.867,1928-01-02,2020-02-29
014033-99999,EKOFISK OIL PLTFRM,NO,,56.55,3.25,1981-05-06,2020-02-29
014060-99999,SLATTEROY FYR,NO,,59.917,5.067,1973-01-01,2020-02-29
014080-99999,KARMOY,NO,,59.345,5.207999999999999,1984-09-09,2020-02-29
014110-99999,KVITSOY - NORDBO,NO,,59.067,5.417000000000001,2005-06-12,2020-02-29
014120-99999,OBRESTAD,NO,,58.65,5.567,1973-01-01,2020-02-29
014140-99999,ROVER,NO,,59.433,5.067,1989-05-20,2020-02-29
014150-99999,SOLA,NO,,58.876999999999995,5.638,1940-04-10,2020-02-29
014160-99999,STAVANGER VAALAND,NO,,58.95,5.733,2008-07-24,2020-02-29
014170-99999,NEDRE VATS,NO,,59.483000000000004,5.75,1973-01-03,2020-02-29
014180-99999,AUSTEVOLL,NO,,60.016999999999996,5.2,1973-01-01,2020-02-29
014220-99999,FISTER SIGMUNDSTAD,NO,,59.167,6.0329999999999995,2005-01-01,2020-02-29
014240-99999,SAUDA,NO,,59.65,6.367000000000001,1973-01-01,2020-02-29
014250-99999,EIK HOVE,NO,,58.516999999999996,6.517,1973-01-01,2020-02-29
014260-99999,EIGEROYA,NO,,58.433,5.867000000000001,2004-04-25,2020-02-29
014270-99999,LISTA FYR,NO,,58.117,6.567,1928-01-01,2020-02-29
014300-99999,MANDAL II,NO,,58.016999999999996,7.45,1973-01-01,2020-02-29
014310-99999,SIRDAL-SINNES,NO,,58.933,6.917000000000001,2007-08-06,2020-02-29
014340-99999,VAAGSLI,NO,,59.766999999999996,7.367000000000001,2004-04-06,2020-02-29
014350-99999,HAUKELISETER TESTFELT,NO,,59.817,7.2170000000000005,1985-01-11,2020-02-29
014360-99999,LINDESNES FYR,NO,,57.983000000000004,7.05,1973-01-01,2020-02-29
014390-99999,KONSMO-HOYLAND,NO,,58.25,7.442,1973-01-01,2020-02-29
014400-99999,BLASJO,NO,,59.333,6.867000000000001,1973-01-01,2020-02-29
014410-99999,HOVDEN-LUNDANE,NO,,59.583,7.382999999999999,1983-01-01,2020-02-29
014420-99999,BYGLANDSFJORD,NO,,58.667,7.8,1973-01-01,2020-02-29
014470-99999,HOYDALSMO II,NO,,59.5,8.2,2006-11-21,2020-02-29
014480-99999,OKSOY FYR,NO,,58.067,8.05,1949-01-01,2020-02-29
014500-99999,MOSSTRAND II,NO,,59.833,8.183,1973-01-01,2020-02-29
014520-99999,KJEVIK,NO,,58.20399999999999,8.085,1940-05-01,2020-02-29
014550-99999,TVEITSUND,NO,,59.033,8.517000000000001,1973-01-01,2020-02-29
014590-99999,NELAUG,NO,,58.65,8.633,1973-01-01,2020-02-29
014670-99999,LYNGOR FYR,NO,,58.633,9.15,1973-01-01,2020-02-29
014680-99999,KONGSVINGER,NO,,60.183,12.0,2006-10-03,2020-02-29
014690-99999,HONEFOSS-HOYBY,NO,,60.167,10.25,2005-07-19,2020-02-29
014700-99999,GVARV,NO,,59.383,9.2,1973-01-01,2020-02-29
014703-99999,NOTODDEN,NO,,59.566,9.212,1990-10-19,2020-02-28
014710-99999,VEGGLI II,NO,,60.05,9.15,2006-10-03,2020-02-29
014730-99999,KONGSBERG BRANNSTASJON,NO,,59.617,9.633,2004-05-10,2020-02-29
014760-99999,JOMFRULAND FYR,NO,,58.85,9.55,1973-01-01,2020-02-29
014770-99999,KONNERUD,NO,,59.717,10.15,1973-01-01,2020-02-29
014780-99999,SVENNER LH,NO,,58.967,10.15,1973-01-01,2020-02-29
014800-99999,DRAMMEN BERSKOG,NO,,59.75,10.133,2005-02-18,2020-02-29
014810-99999,MELSOM,NO,,59.233000000000004,10.35,1974-05-19,2020-02-29
014820-99999,FERDER LH,NO,,59.033,10.517000000000001,1931-01-01,2020-02-29
014825-99999,TORP,NO,,59.187,10.259,2005-01-01,2020-02-29
014830-99999,TORP,NO,,59.183,10.267000000000001,1973-01-01,2020-02-29
014840-99999,AURSKOG,NO,,59.917,11.583,1973-01-01,2020-02-29
014843-99999,OSEBERG,NO,,59.317,10.45,1990-10-19,2020-02-29
014860-99999,ASKER,NO,,59.85,10.433,2004-05-10,2020-02-29
014880-99999,HAKADAL,NO,,60.117,10.833,1940-04-07,2020-02-29
014900-99999,TRYVANNSHOGDA,NO,,59.983000000000004,10.683,1973-01-01,2020-02-29
014920-99999,OSLO-BLINDERN,NO,,59.95,10.717,1973-08-03,2020-02-29
014930-99999,SARPSBORG,NO,,59.283,11.117,2004-05-10,2020-02-29
014940-99999,RYGGE,NO,,59.379,10.786,1973-01-01,2020-02-29
014950-99999,STROMTANGEN FYR,NO,,59.15,10.833,2004-04-06,2020-02-29
020001-99999,LJUNGBYHED,SW,,56.083,13.213,2004-05-10,2020-02-29
020130-99999,RITSEM,SW,,67.733,17.467,2001-06-01,2020-02-29
020190-99999,KATTERJAKK A,SW,,68.417,18.167,2008-10-27,2020-02-29
020240-99999,STORA SJOFALLET,SW,,67.5,18.3,2001-06-01,2020-02-29
020290-99999,TARFALA,SW,,67.917,18.6,2001-06-01,2020-02-29
020310-99999,RENSJON,SW,,68.067,19.833,2001-06-01,2020-02-29
020360-99999,NIKKALUOKTA,SW,,67.85,19.033,1977-07-01,2020-02-29
020380-99999,LATNIVAARA,SW,,67.25,20.267,2001-06-01,2020-02-29
020440-99999,KIRUNA,SW,,67.822,20.337,1977-07-01,2020-02-29
020490-99999,GALLIVARE,SW,,67.132,20.815,1979-08-03,2020-02-29
020550-99999,NAIMAKKA,SW,,68.683,21.533,1973-01-01,2020-02-29
020640-99999,SAITTAROVA,SW,,67.333,22.233,1973-01-01,2020-02-29
020720-99999,PARKALOMPOLO,SW,,67.733,22.833000000000002,2001-06-01,2020-02-29
020810-99999,KARESUANDO,SW,,68.45,22.45,1955-01-01,2020-02-29
020950-99999,PAJALA,SW,,67.2,23.383000000000003,1955-01-01,2020-02-29
021010-99999,HEMAVAN,SW,,65.806,15.083,1973-01-02,2020-02-29
021020-99999,STEKENJOKK,SW,,65.1,14.517000000000001,1958-11-01,2020-02-29
021030-99999,HEMAVAN-GIEREVARTO,SW,,65.783,15.067,1987-11-18,2020-02-29
021100-99999,GIELAS,SW,,65.333,15.067,1987-05-18,2020-02-29
021190-99999,KVIKKJOKK ARRENJARKA,SW,,66.883,18.017,1973-01-01,2020-02-29
021205-99999,STORUMAN,SW,,64.95,17.7,2005-04-19,2020-02-29
021210-99999,MIERKENIS,SW,,66.683,16.117,2001-06-01,2020-02-29
021240-99999,ARJEPLOG,SW,,66.05,17.833,1977-04-05,2020-02-29
021350-99999,BURESJON,SW,,65.567,17.867,1973-01-01,2020-02-29
021410-99999,TJAKAAPE,SW,,66.317,19.217,1973-01-01,2020-02-29
021470-99999,MALA-BRANNAN,SW,,65.15,18.6,1973-01-01,2020-02-29
021490-99999,ARVIDSJAUR,SW,,65.6,19.267,2001-07-01,2020-02-29
021510-99999,JOKKMOKK FPL,SW,,66.483,20.167,1973-01-01,2020-02-29
021540-99999,VIDSEL,SW,,65.875,20.15,1977-07-01,2020-02-29
021610-99999,NATTAVAARA,SW,,66.75,20.933000000000003,1973-01-01,2020-02-29
021710-99999,BODEN,SW,,65.817,21.633000000000003,1979-08-02,2020-02-29
021730-99999,ALVSBYN,SW,,65.667,21.066999999999997,2001-07-01,2020-02-29
021740-99999,LAKATRASK,SW,,66.283,21.133000000000003,2001-07-01,2020-02-29
021760-99999,PITE-RONNSKAR,SW,,65.033,21.566999999999997,1997-09-01,2020-02-29
021810-99999,OVERKALIX SVARTBYN,SW,,66.267,22.85,1996-08-01,2020-02-29
021840-99999,PAHAROVA,SW,,66.817,22.333000000000002,2001-07-01,2020-02-29
021860-99999,KALLAX,SW,,65.544,22.122,1977-07-01,2020-02-29
021880-99999,RODKALLEN,SW,,65.317,22.383000000000003,1973-01-01,2020-02-29
021910-99999,STORON,SW,,65.7,23.1,2001-07-01,2020-02-29
021970-99999,HAPARANDA,SW,,65.817,24.116999999999997,2008-10-27,2020-02-29
021990-99999,YLINENJARVI,SW,,66.617,23.467,2001-07-01,2020-02-29
022070-99999,STORLIEN-VISJOVALEN A,SW,,63.283,12.117,1973-01-01,2020-02-29
022090-99999,SYLARNA,SW,,63.05,12.283,1973-01-01,2020-02-29
022190-99999,GADDEDE A,SW,,64.5,14.217,2008-03-01,2020-02-29
022210-99999,KORSVATTNET,SW,,63.833,13.5,1997-12-01,2020-02-29
022260-99999,OSTERSUND,SW,,63.2,14.5,1935-01-01,2020-02-29
022300-99999,GUBBHOGEN,SW,,64.217,15.55,1973-01-01,2020-02-29
022310-99999,FOLLINGE,SW,,63.683,14.6,2001-07-01,2020-02-29
022360-99999,HALLHAXASEN,SW,,63.766999999999996,15.333,1977-07-01,2020-02-29
022420-99999,HOTING,SW,,64.083,16.233,1973-01-01,2020-02-29
022430-99999,JUNSELE,SW,,63.683,16.95,1973-01-01,2020-02-29
022450-99999,VILHELMINA,SW,,64.583,16.85,1996-08-01,2020-02-29
022455-99999,LYCKSELE,SW,,64.548,18.715999999999998,1998-04-08,2020-02-29
022470-99999,KRANGEDE,SW,,63.15,16.167,1973-01-01,2020-02-29
022540-99999,ASELE,SW,,64.167,17.317,1977-07-01,2020-02-29
022590-99999,KRAMFORS SOLLEFTEA,SW,,63.049,17.769000000000002,1977-07-01,2020-02-29
022600-99999,VASTMARKUM,SW,,63.133,18.25,1973-01-01,2020-02-29
022610-99999,LYCKSELE,SW,,64.55,18.717,1973-01-01,2020-02-29
022630-99999,FREDRIKA,SW,,64.083,18.367,2001-07-01,2020-02-29
022650-99999,HEMLING,SW,,63.65,18.55,2001-07-01,2020-02-29
022670-99999,ORNSKOLDSVIK,SW,,63.408,18.99,1979-08-02,2020-02-29
022690-99999,SKAGSUDDE,SW,,63.183,19.017,1996-08-01,2020-02-29
022710-99999,NORSJO,SW,,64.933,19.383,2001-07-01,2020-02-29
022820-99999,PETISTRASK,SW,,64.567,19.7,2001-07-01,2020-02-29
022840-99999,JARNASKLUBB,SW,,63.433,19.683,1973-01-01,2020-02-29
022860-99999,UMEA,SW,,63.792,20.283,1977-07-01,2020-02-29
022870-99999,HOLMON,SW,,63.8,20.866999999999997,2005-07-24,2020-02-29
022930-99999,SKELLEFTEA,SW,,64.625,21.076999999999998,1979-08-02,2020-02-29
022970-99999,BJUROKLUBB,SW,,64.483,21.583000000000002,2001-06-01,2020-02-29
023070-99999,IDRE FJALL,SW,,61.883,12.85,1973-01-01,2020-02-29
023080-99999,TANNAS,SW,,62.45,12.667,1996-08-01,2020-02-29
023170-99999,DRAVAGEN,SW,,62.1,13.617,2001-07-01,2020-02-29
023190-99999,BORTNAN,SW,,62.75,13.85,2001-07-01,2020-02-29
023210-99999,ALVDALEN,SW,,61.25,14.033,1973-01-01,2020-02-29
023250-99999,KLOVSJOHOJDEN,SW,,62.5,14.15,1973-01-01,2020-02-29
023270-99999,SVEG A,SW,,62.05,14.4,2009-09-29,2020-02-29
023290-99999,HAMRA,SW,,61.667,15.0,1973-01-01,2020-02-29
023310-99999,HUNGE,SW,,62.75,15.083,2001-07-01,2020-02-29
023380-99999,EDSBYN,SW,,61.367,15.717,1996-08-01,2020-02-29
023430-99999,TORPSHAMMAR,SW,,62.5,16.283,1973-01-01,2020-02-29
023470-99999,DELSBO,SW,,61.833,16.55,2001-07-01,2020-02-29
023550-99999,KUGGOREN,SW,,61.7,17.533,1996-08-01,2020-02-29
023660-99999,SUNDSVALL HARNOSAND,SW,,62.528,17.444000000000003,1977-07-01,2020-02-29
023680-99999,BRAMON,SW,,62.217,17.75,1987-05-21,2020-02-29
023820-99999,LUNGO,SW,,62.65,18.1,1973-08-24,2020-02-29
024030-99999,NAVEN,SW,,58.7,13.117,2001-07-01,2020-02-29
024070-99999,MALUNG A,SW,,60.683,13.7,2001-11-24,2020-02-29
024080-99999,BLOMSKOG,SW,,59.217,12.083,1996-08-01,2020-02-29
024110-99999,ARVIKA,SW,,59.676,12.639000000000001,2001-07-01,2020-02-29
024170-99999,PALGRUNDEN,SW,,58.75,13.15,1978-10-14,2020-02-29
024180-99999,KARLSTAD,SW,,59.445,13.337,1935-01-01,2020-02-29
024230-99999,SUNNE,SW,,59.867,13.117,2001-07-01,2020-02-29
024260-99999,GUSTAVSFORS,SW,,60.15,13.8,2001-07-01,2020-02-29
024283-99999,OREBRO,SW,,59.224,15.038,1991-08-27,2020-02-29
024284-99999,MORA,SW,,60.958,14.511,1991-08-27,2020-02-29
024285-99999,TORSBY,SW,,60.158,12.991,2007-02-26,2020-02-29
024290-99999,DAGLOSEN,SW,,59.667,14.183,2001-07-01,2020-02-29
024310-99999,KLOTEN,SW,,59.867,15.25,2009-08-11,2020-02-29
